Numero de onda	poliettilrn_succinato.dpt
3996.7144	0.98565
3994.66059	0.98548
3992.60678	0.98571
3990.55297	0.98595
3988.49916	0.98578
3986.44535	0.98563
3984.39154	0.98581
3982.33773	0.98595
3980.28391	0.98568
3978.2301	0.9855
3976.17629	0.98598
3974.12248	0.98652
3972.06867	0.98654
3970.01486	0.98633
3967.96105	0.98601
3965.90724	0.98542
3963.85343	0.98498
3961.79962	0.98538
3959.74581	0.98595
3957.692	0.98602
3955.63819	0.98598
3953.58438	0.98593
3951.53057	0.986
3949.47676	0.98663
3947.42295	0.98708
3945.36914	0.98656
3943.31533	0.98581
3941.26152	0.98544
3939.20771	0.98538
3937.1539	0.98575
3935.10009	0.98644
3933.04628	0.9869
3930.99247	0.98684
3928.93866	0.98649
3926.88485	0.98605
3924.83104	0.98564
3922.77723	0.98568
3920.72342	0.9863
3918.66961	0.98695
3916.6158	0.98709
3914.56199	0.98699
3912.50818	0.98686
3910.45437	0.98642
3908.40056	0.98604
3906.34675	0.98627
3904.29294	0.98635
3902.23913	0.98578
3900.18532	0.98573
3898.13151	0.98618
3896.0777	0.98634
3894.02389	0.98635
3891.97008	0.98668
3889.91627	0.98691
3887.86246	0.98644
3885.80865	0.98613
3883.75484	0.98688
3881.70103	0.98801
3879.64722	0.98852
3877.59341	0.98779
3875.5396	0.98641
3873.48579	0.98531
3871.43198	0.9852
3869.37817	0.98605
3867.32436	0.9872
3865.27055	0.98848
3863.21674	0.98924
3861.16293	0.98853
3859.10912	0.98719
3857.05531	0.98624
3855.0015	0.98621
3852.94769	0.98758
3850.89388	0.98833
3848.84007	0.9876
3846.78626	0.98707
3844.73245	0.9874
3842.67864	0.98771
3840.62483	0.98767
3838.57102	0.98746
3836.51721	0.98712
3834.4634	0.98711
3832.40959	0.98725
3830.35578	0.98728
3828.30197	0.98772
3826.24816	0.98793
3824.19435	0.98701
3822.14054	0.98669
3820.08673	0.98771
3818.03292	0.98797
3815.97911	0.98751
3813.9253	0.98736
3811.87149	0.98739
3809.81768	0.98711
3807.76387	0.98668
3805.71006	0.98642
3803.65625	0.98637
3801.60244	0.98666
3799.54863	0.98723
3797.49482	0.98789
3795.44101	0.98793
3793.3872	0.98716
3791.33339	0.98685
3789.27958	0.98728
3787.22577	0.98774
3785.17196	0.98789
3783.11815	0.98764
3781.06434	0.98711
3779.01053	0.98711
3776.95672	0.98776
3774.90291	0.98824
3772.8491	0.98852
3770.79529	0.98872
3768.74148	0.98833
3766.68767	0.98718
3764.63386	0.98617
3762.58005	0.9862
3760.52624	0.98709
3758.47243	0.98814
3756.41862	0.98893
3754.36481	0.98925
3752.311	0.98935
3750.25719	0.98933
3748.20338	0.98861
3746.14957	0.98834
3744.09576	0.98923
3742.04195	0.98958
3739.98814	0.98904
3737.93433	0.98895
3735.88052	0.98967
3733.82671	0.98997
3731.7729	0.98939
3729.71909	0.98869
3727.66528	0.98855
3725.61147	0.98877
3723.55766	0.9889
3721.50385	0.98936
3719.45004	0.98972
3717.39623	0.98927
3715.34242	0.98851
3713.28861	0.98776
3711.2348	0.98721
3709.18099	0.98729
3707.12718	0.98777
3705.07337	0.98851
3703.01956	0.98934
3700.96575	0.9897
3698.91194	0.98896
3696.85813	0.98807
3694.80432	0.988
3692.75051	0.9881
3690.6967	0.988
3688.64289	0.98804
3686.58907	0.98769
3684.53526	0.98687
3682.48145	0.98642
3680.42764	0.98686
3678.37383	0.98807
3676.32002	0.98973
3674.26621	0.98999
3672.2124	0.98809
3670.15859	0.9859
3668.10478	0.98529
3666.05097	0.98647
3663.99716	0.98771
3661.94335	0.98762
3659.88954	0.98684
3657.83573	0.98657
3655.78192	0.98663
3653.72811	0.98598
3651.6743	0.98446
3649.62049	0.98381
3647.56668	0.98533
3645.51287	0.98603
3643.45906	0.98515
3641.40525	0.9841
3639.35144	0.98384
3637.29763	0.98473
3635.24382	0.98566
3633.19001	0.98517
3631.1362	0.98403
3629.08239	0.98345
3627.02858	0.98324
3624.97477	0.98293
3622.92096	0.98271
3620.86715	0.98314
3618.81334	0.98401
3616.75953	0.98377
3614.70572	0.9825
3612.65191	0.98158
3610.5981	0.98148
3608.54429	0.98159
3606.49048	0.9812
3604.43667	0.98048
3602.38286	0.97989
3600.32905	0.97972
3598.27524	0.97997
3596.22143	0.98039
3594.16762	0.98064
3592.11381	0.98023
3590.06	0.97929
3588.00619	0.97793
3585.95238	0.97671
3583.89857	0.9765
3581.84476	0.97656
3579.79095	0.97586
3577.73714	0.97448
3575.68333	0.97295
3573.62952	0.9718
3571.57571	0.9716
3569.5219	0.97209
3567.46809	0.97237
3565.41428	0.97174
3563.36047	0.97046
3561.30666	0.96928
3559.25285	0.96847
3557.19904	0.96811
3555.14523	0.96817
3553.09142	0.96829
3551.03761	0.96796
3548.9838	0.96717
3546.92999	0.96622
3544.87618	0.96524
3542.82237	0.96454
3540.76856	0.96429
3538.71475	0.96402
3536.66094	0.96351
3534.60713	0.96306
3532.55332	0.9629
3530.49951	0.96321
3528.4457	0.964
3526.39189	0.96462
3524.33808	0.96449
3522.28427	0.96397
3520.23046	0.96386
3518.17665	0.96404
3516.12284	0.96394
3514.06903	0.96395
3512.01522	0.96439
3509.96141	0.96483
3507.9076	0.96501
3505.85379	0.96538
3503.79998	0.96629
3501.74617	0.96688
3499.69236	0.96677
3497.63855	0.96648
3495.58474	0.96623
3493.53093	0.96614
3491.47712	0.9661
3489.42331	0.96624
3487.3695	0.9667
3485.31569	0.9668
3483.26188	0.96636
3481.20807	0.96609
3479.15426	0.96628
3477.10045	0.96654
3475.04664	0.96693
3472.99283	0.96738
3470.93902	0.96743
3468.88521	0.96722
3466.8314	0.9666
3464.77759	0.96585
3462.72378	0.96557
3460.66997	0.96539
3458.61616	0.96539
3456.56235	0.96533
3454.50854	0.96454
3452.45473	0.96342
3450.40092	0.96296
3448.34711	0.96309
3446.2933	0.96278
3444.23949	0.96199
3442.18568	0.96163
3440.13187	0.96217
3438.07806	0.96368
3436.02425	0.96565
3433.97044	0.96698
3431.91663	0.96768
3429.86282	0.96859
3427.80901	0.96958
3425.7552	0.97003
3423.70139	0.97028
3421.64758	0.97078
3419.59377	0.97143
3417.53996	0.97204
3415.48615	0.97268
3413.43234	0.9734
3411.37853	0.97362
3409.32472	0.97322
3407.27091	0.97271
3405.2171	0.97251
3403.16329	0.97297
3401.10948	0.9738
3399.05567	0.97408
3397.00186	0.97357
3394.94805	0.97346
3392.89424	0.97419
3390.84042	0.97502
3388.78661	0.97563
3386.7328	0.97575
3384.67899	0.97551
3382.62518	0.97553
3380.57137	0.97605
3378.51756	0.97686
3376.46375	0.97744
3374.40994	0.97769
3372.35613	0.97773
3370.30232	0.97721
3368.24851	0.97659
3366.1947	0.97673
3364.14089	0.97755
3362.08708	0.97832
3360.03327	0.97833
3357.97946	0.97787
3355.92565	0.97798
3353.87184	0.97854
3351.81803	0.97877
3349.76422	0.97898
3347.71041	0.97933
3345.6566	0.97911
3343.60279	0.97863
3341.54898	0.9786
3339.49517	0.97898
3337.44136	0.97965
3335.38755	0.97994
3333.33374	0.97954
3331.27993	0.97958
3329.22612	0.98017
3327.17231	0.98038
3325.1185	0.98048
3323.06469	0.98083
3321.01088	0.98111
3318.95707	0.98084
3316.90326	0.9801
3314.84945	0.97989
3312.79564	0.98029
3310.74183	0.98045
3308.68802	0.98047
3306.63421	0.98056
3304.5804	0.9806
3302.52659	0.98092
3300.47278	0.98144
3298.41897	0.98173
3296.36516	0.9819
3294.31135	0.98195
3292.25754	0.9817
3290.20373	0.98129
3288.14992	0.98112
3286.09611	0.98156
3284.0423	0.98255
3281.98849	0.98304
3279.93468	0.9826
3277.88087	0.98203
3275.82706	0.98156
3273.77325	0.98135
3271.71944	0.98182
3269.66563	0.98236
3267.61182	0.98243
3265.55801	0.98236
3263.5042	0.98246
3261.45039	0.98279
3259.39658	0.98335
3257.34277	0.98369
3255.28896	0.98333
3253.23515	0.98283
3251.18134	0.98274
3249.12753	0.98272
3247.07372	0.98272
3245.01991	0.98314
3242.9661	0.98393
3240.91229	0.98421
3238.85848	0.9834
3236.80467	0.98247
3234.75086	0.9826
3232.69705	0.98325
3230.64324	0.98375
3228.58943	0.98412
3226.53562	0.98406
3224.48181	0.98395
3222.428	0.98393
3220.37419	0.98344
3218.32038	0.9828
3216.26657	0.98279
3214.21276	0.98359
3212.15895	0.9844
3210.10514	0.9845
3208.05133	0.98417
3205.99752	0.98416
3203.94371	0.98444
3201.8899	0.9844
3199.83609	0.98423
3197.78228	0.98383
3195.72847	0.98324
3193.67466	0.98323
3191.62085	0.98377
3189.56704	0.98439
3187.51323	0.98487
3185.45942	0.98497
3183.40561	0.98485
3181.3518	0.98472
3179.29799	0.98453
3177.24418	0.98469
3175.19037	0.98531
3173.13656	0.98546
3171.08275	0.98469
3169.02894	0.98395
3166.97513	0.98375
3164.92132	0.98391
3162.86751	0.98446
3160.8137	0.98512
3158.75989	0.98528
3156.70608	0.98457
3154.65227	0.98351
3152.59846	0.98313
3150.54465	0.98388
3148.49084	0.98503
3146.43703	0.98547
3144.38322	0.98489
3142.32941	0.98393
3140.2756	0.98353
3138.22179	0.984
3136.16798	0.98478
3134.11417	0.98533
3132.06036	0.98549
3130.00655	0.98499
3127.95274	0.98417
3125.89893	0.98386
3123.84512	0.98447
